source,target,value
jo,geo,1
jo,code,1
jo,theater,1
jo,schwarz,1
jo,research_ass,1
geo,maps,4
geo,msc,2
wur,msc,2
research_ass,msc,3
msc,study_ass,3
research_ass,wur,1
wur,study_ass,1
research_ass,rs,2
research_ass,esa,5
esa,italy,1
italy,italian,3
learn,js,10
learn,study_ass,10
learn,italian,7
code,r,1
code,js,2
code,html,1
code,css,1
code,python,1
code,linux,1
code,sql,3
r,gdal,7
python,gdal,7
python,qgis,6
theater,embrace,2
theater,learn,3
theater,impro,1
learn,lindy,3
theater,interact,1
geo,arcgis,1
geo,qgis,1
geo,postgis,1
geo,erdas,1
geo,rs,2
geo,gdal,2
gdal,rs,2
erdas,rs,2
erasmus,msr,4
msc,erasmus,4
india,ba,7
msr,india,7
msc,fiji,7
fiji,rs,7
fiji,sql,7
hd,ba,1
msr,berlin,1
wur,wag,1
fiji,giz,1
schwarz,hd,7
hd,ba,2
